INCIDENT TITLE,LATITUDE,LONGITUDE
CALLE TERRAZAS DE CUELLAR,41.63286443113428,-0.8813174742094898
PLAZA DOS DE MAYO,41.634386727840095,-0.8764481602104424
"CALLE LA ISLA DEL TESORO, 57",41.62551426602838,-0.9309508262143843
"CAMINO DE JUSLIBOL, 24",41.67197785533852,-0.8741315246067348
"AVENIDA ACADEMIA GENERAL MILITAR, 80",41.68657353115255,-0.8705157039893275
"CALLE EUGENIO LUCAS, 14",41.68880519586297,-0.873327485143424
CALLE MANUEL LAHOZ VALLE,41.68918451524669,-0.8733839568406793
"CALLE PADRE CLARET MOVERA, 28",41.647913391182485,-0.821537321972104
CALLE EUGENIO LUCAS,41.68883333036829,-0.8755782662042294
"PASEO RUISEÑORES, 5",41.638054595246814,-0.8868258210968087
"CALLE VALERO JULIAN RIPOL URBANO, 4",41.66502746619336,-0.881590213475018
